age,gender,municipality,education_level,main_activity,income_decile,income_bracket,language_group
0,Females,Lappeenranta,5 Short-cycle tertiary education,Employed,II,Low,Finnish-speaking population
21,Males,Pedersöre,3-8 A post-comprehensive level qualification,0-14 years old,VIII,High,Swedish-speaking population
49,Males,Tornio,3-8 A post-comprehensive level qualification,"Students, pupils",V,Medium,Finnish-speaking population
69,Males,Siilinjärvi,9 Basic education,Employed,V,Medium,Finnish-speaking population
0,Females,Turku,3-8 A post-comprehensive level qualification,Employed,III,Low,Finnish-speaking population
0,Females,Savitaipale,6 Bachelor's or equivalent level,0-14 years old,I,Low,Finnish-speaking population
10,Males,Raahe,9 Basic education,Labour force,V,Medium,Finnish-speaking population
79,Males,Enonkoski,3 Upper secondary education,Labour force,IV,Medium,Finnish-speaking population
0,Females,Oulu,3-8 A post-comprehensive level qualification,Employed,V,Medium,Finnish-speaking population
0,Males,Helsinki,3-8 A post-comprehensive level qualification,Persons outside the labour force,VI,Medium,Swedish-speaking population
0,Females,Espoo,3-8 A post-comprehensive level qualification,0-14 years old,X,High,Finnish-speaking population
38,Females,Helsinki,9 Basic education,Persons outside the labour force,VIII,High,Finnish-speaking population
0,Males,Tampere,3 Upper secondary education,Persons outside the labour force,IV,Medium,Finnish-speaking population
0,Females,Saarijärvi,9 Basic education,Labour force,V,Medium,Finnish-speaking population
76,Females,Vantaa,3 Upper secondary education,Employed,IV,Medium,Finnish-speaking population
0,Females,Vihti,3 Upper secondary education,Persons outside the labour force,X,High,Finnish-speaking population
12,Females,Turku,3-8 A post-comprehensive level qualification,Pensioners,IX,High,Finnish-speaking population
0,Females,Helsinki,3 Upper secondary education,Employed,II,Low,Finnish-speaking population
20,Females,Turku,3 Upper secondary education,Labour force,IV,Medium,Finnish-speaking population
26,Males,Tampere,3-8 A post-comprehensive level qualification,Labour force,IV,Medium,Finnish-speaking population
0,Females,Turku,3-8 A post-comprehensive level qualification,Labour force,V,Medium,Finnish-speaking population
0,Females,Helsinki,3-8 A post-comprehensive level qualification,Persons outside the labour force,I,Low,Finnish-speaking population
0,Females,Helsinki,9 Basic education,Employed,IX,High,Finnish-speaking population
0,Males,Valkeakoski,6 Bachelor's or equivalent level,Pensioners,VI,Medium,Finnish-speaking population
52,Females,Helsinki,3 Upper secondary education,Other persons outside the labour force,VIII,High,Finnish-speaking population
83,Females,Keminmaa,3-8 A post-comprehensive level qualification,Persons outside the labour force,I,Low,Finnish-speaking population
29,Females,Kuopio,9 Basic education,Employed,III,Low,Finnish-speaking population
36,Males,Helsinki,3-8 A post-comprehensive level qualification,0-14 years old,X,High,Finnish-speaking population
21,Females,Espoo,3-8 A post-comprehensive level qualification,Persons outside the labour force,X,High,Swedish-speaking population
9,Females,Ylöjärvi,5 Short-cycle tertiary education,Employed,V,Medium,Finnish-speaking population
29,Males,Turku,9 Basic education,Employed,VI,Medium,Finnish-speaking population
24,Males,Vaasa,3 Upper secondary education,Employed,V,Medium,Finnish-speaking population
0,Males,Joroinen,3-8 A post-comprehensive level qualification,Persons outside the labour force,IV,Medium,Finnish-speaking population
38,Males,Huittinen,3-8 A post-comprehensive level qualification,"Students, pupils",V,Medium,Finnish-speaking population
9,Males,Kouvola,3-8 A post-comprehensive level qualification,Employed,VII,Medium,Finnish-speaking population
0,Females,Kuopio,3-8 A post-comprehensive level qualification,Pensioners,II,Low,Finnish-speaking population
0,Males,Alavus,3-8 A post-comprehensive level qualification,Persons outside the labour force,I,Low,Finnish-speaking population
0,Males,Siikajoki,6 Bachelor's or equivalent level,Labour force,VII,Medium,Finnish-speaking population
45,Males,Ähtäri,5 Short-cycle tertiary education,Persons outside the labour force,I,Low,Finnish-speaking population
0,Males,Liminka,3 Upper secondary education,Labour force,V,Medium,Finnish-speaking population
84,Females,Kirkkonummi,9 Basic education,Labour force,X,High,Finnish-speaking population
49,Males,Kittilä,9 Basic education,Persons outside the labour force,VII,Medium,Finnish-speaking population
6,Males,Helsinki,7 Master's or equivalent level,Pensioners,II,Low,Finnish-speaking population
5,Females,Janakkala,9 Basic education,Persons outside the labour force,V,Medium,Finnish-speaking population
82,Females,Lappeenranta,3-8 A post-comprehensive level qualification,Employed,VIII,High,Finnish-speaking population
18,Males,Kouvola,3-8 A post-comprehensive level qualification,Pensioners,VI,Medium,Finnish-speaking population
71,Males,Loviisa,3 Upper secondary education,Employed,IX,High,Swedish-speaking population
35,Males,Tampere,3 Upper secondary education,0-14 years old,VIII,High,Finnish-speaking population
65,Males,Hyvinkää,3-8 A post-comprehensive level qualification,"Conscripts, persons in non-military service",I,Low,Finnish-speaking population
78,Females,Espoo,7 Master's or equivalent level,Employed,VI,Medium,Finnish-speaking population
27,Females,Espoo,7 Master's or equivalent level,Persons outside the labour force,IV,Medium,Finnish-speaking population
48,Females,Helsinki,3-8 A post-comprehensive level qualification,0-14 years old,II,Low,Finnish-speaking population
0,Females,Mäntsälä,7 Master's or equivalent level,Labour force,IV,Medium,Finnish-speaking population
0,Males,Tampere,6 Bachelor's or equivalent level,Persons outside the labour force,IV,Medium,Finnish-speaking population
0,Males,Turku,7 Master's or equivalent level,Pensioners,V,Medium,Finnish-speaking population
0,Males,Oulu,3-8 A post-comprehensive level qualification,Labour force,III,Low,Finnish-speaking population
58,Females,Kokkola,3-8 A post-comprehensive level qualification,Employed,IV,Medium,Finnish-speaking population
47,Males,Helsinki,3-8 A post-comprehensive level qualification,Persons outside the labour force,I,Low,Finnish-speaking population
0,Males,Kokkola,3 Upper secondary education,Persons outside the labour force,IX,High,Finnish-speaking population
65,Males,Kaarina,7 Master's or equivalent level,Pensioners,VII,Medium,Finnish-speaking population
60,Females,Turku,9 Basic education,Pensioners,IV,Medium,Finnish-speaking population
44,Females,Lahti,3-8 A post-comprehensive level qualification,Pensioners,VI,Medium,Finnish-speaking population
0,Males,Hyvinkää,7 Master's or equivalent level,Persons outside the labour force,III,Low,Finnish-speaking population
39,Males,Jyväskylä,8 Doctoral or equivalent level,Persons outside the labour force,IV,Medium,Finnish-speaking population
0,Males,Helsinki,3-8 A post-comprehensive level qualification,Labour force,VIII,High,Finnish-speaking population
14,Females,Vaasa,3 Upper secondary education,Labour force,IX,High,Finnish-speaking population
0,Females,Espoo,3-8 A post-comprehensive level qualification,Persons outside the labour force,II,Low,Finnish-speaking population
32,Males,Espoo,3-8 A post-comprehensive level qualification,Persons outside the labour force,IX,High,Finnish-speaking population
43,Females,Helsinki,3 Upper secondary education,"Students, pupils",VIII,High,Finnish-speaking population
0,Males,Tampere,7 Master's or equivalent level,Persons outside the labour force,II,Low,Finnish-speaking population
0,Females,Lieksa,3-8 A post-comprehensive level qualification,0-14 years old,III,Low,Finnish-speaking population
49,Males,Oulu,6 Bachelor's or equivalent level,Unemployed,III,Low,Finnish-speaking population
0,Females,Kauhava,6 Bachelor's or equivalent level,Employed,IV,Medium,Finnish-speaking population
11,Males,Eura,5 Short-cycle tertiary education,Persons outside the labour force,IX,High,Finnish-speaking population
0,Males,Tornio,3-8 A post-comprehensive level qualification,Employed,III,Low,Finnish-speaking population
0,Females,Helsinki,3-8 A post-comprehensive level qualification,Persons outside the labour force,V,Medium,Finnish-speaking population
0,Males,Espoo,3 Upper secondary education,Employed,X,High,Finnish-speaking population
0,Males,Mänttä-Vilppula,9 Basic education,Persons outside the labour force,I,Low,Finnish-speaking population
0,Females,Hanko,6 Bachelor's or equivalent level,Labour force,IX,High,Finnish-speaking population
0,Females,Helsinki,3-8 A post-comprehensive level qualification,Employed,II,Low,Finnish-speaking population
67,Females,Taipalsaari,5 Short-cycle tertiary education,Labour force,VI,Medium,Finnish-speaking population
0,Males,Laihia,6 Bachelor's or equivalent level,Employed,III,Low,Finnish-speaking population
94,Females,Hämeenlinna,3-8 A post-comprehensive level qualification,Employed,II,Low,Finnish-speaking population
31,Females,Kangasniemi,9 Basic education,0-14 years old,III,Low,Finnish-speaking population
37,Females,Rovaniemi,7 Master's or equivalent level,Persons outside the labour force,V,Medium,Finnish-speaking population
53,Females,Espoo,5 Short-cycle tertiary education,Persons outside the labour force,VI,Medium,Finnish-speaking population
0,Males,Helsinki,3-8 A post-comprehensive level qualification,Labour force,I,Low,Finnish-speaking population
94,Males,Oulu,8 Doctoral or equivalent level,Labour force,II,Low,Finnish-speaking population
58,Males,Oulainen,9 Basic education,"Students, pupils",X,High,Finnish-speaking population
81,Males,Varkaus,3-8 A post-comprehensive level qualification,Persons outside the labour force,V,Medium,Finnish-speaking population
0,Males,Kerava,3-8 A post-comprehensive level qualification,Persons outside the labour force,IV,Medium,Finnish-speaking population
0,Females,Espoo,6 Bachelor's or equivalent level,Labour force,X,High,Finnish-speaking population
0,Males,Lohja,6 Bachelor's or equivalent level,Employed,IV,Medium,Finnish-speaking population
0,Males,Oulu,6 Bachelor's or equivalent level,Persons outside the labour force,VII,Medium,Finnish-speaking population
0,Males,Helsinki,3-8 A post-comprehensive level qualification,Unemployed,III,Low,Finnish-speaking population
0,Males,Masku,7 Master's or equivalent level,Persons outside the labour force,IX,High,Finnish-speaking population
4,Females,Helsinki,3 Upper secondary education,Employed,I,Low,Finnish-speaking population
0,Males,Tampere,3 Upper secondary education,Employed,III,Low,Finnish-speaking population
41,Males,Tampere,3-8 A post-comprehensive level qualification,Labour force,VIII,High,Finnish-speaking population
41,Females,Kouvola,6 Bachelor's or equivalent level,Persons outside the labour force,IX,High,Finnish-speaking population
0,Females,Vantaa,6 Bachelor's or equivalent level,Employed,X,High,Finnish-speaking population
59,Males,Vihti,9 Basic education,0-14 years old,IV,Medium,Finnish-speaking population
0,Females,Helsinki,3 Upper secondary education,Pensioners,X,High,Finnish-speaking population
0,Females,Keminmaa,3-8 A post-comprehensive level qualification,Pensioners,III,Low,Finnish-speaking population
0,Males,Närpes,3-8 A post-comprehensive level qualification,Employed,X,High,Swedish-speaking population
48,Females,Harjavalta,9 Basic education,Persons outside the labour force,VI,Medium,Finnish-speaking population
63,Males,Kirkkonummi,3-8 A post-comprehensive level qualification,Labour force,IX,High,Finnish-speaking population
0,Females,Ingå,5 Short-cycle tertiary education,Labour force,IX,High,Finnish-speaking population
0,Males,Vantaa,6 Bachelor's or equivalent level,Pensioners,IV,Medium,Finnish-speaking population
35,Females,Koski Tl,3 Upper secondary education,Labour force,II,Low,Finnish-speaking population
0,Males,Savonlinna,3 Upper secondary education,Labour force,I,Low,Finnish-speaking population
35,Females,Kirkkonummi,5 Short-cycle tertiary education,Persons outside the labour force,I,Low,Finnish-speaking population
0,Males,Helsinki,3-8 A post-comprehensive level qualification,Labour force,II,Low,Finnish-speaking population
44,Females,Turku,3-8 A post-comprehensive level qualification,Unemployed,V,Medium,Finnish-speaking population
0,Females,Akaa,3 Upper secondary education,Persons outside the labour force,X,High,Finnish-speaking population
0,Males,Espoo,7 Master's or equivalent level,Employed,IV,Medium,Finnish-speaking population
0,Females,Kemi,9 Basic education,Employed,II,Low,Finnish-speaking population
17,Females,Porvoo,3-8 A post-comprehensive level qualification,0-14 years old,V,Medium,Swedish-speaking population
7,Females,Kalajoki,3-8 A post-comprehensive level qualification,Persons outside the labour force,III,Low,Finnish-speaking population
0,Females,Espoo,3-8 A post-comprehensive level qualification,Labour force,VIII,High,Finnish-speaking population
0,Females,Jämsä,5 Short-cycle tertiary education,0-14 years old,I,Low,Finnish-speaking population
0,Males,Ii,5 Short-cycle tertiary education,"Students, pupils",III,Low,Finnish-speaking population
14,Males,Alavus,3 Upper secondary education,0-14 years old,IV,Medium,Finnish-speaking population
39,Females,Lohja,3-8 A post-comprehensive level qualification,0-14 years old,IX,High,Finnish-speaking population
28,Females,Helsinki,3-8 A post-comprehensive level qualification,Labour force,III,Low,Finnish-speaking population
38,Males,Juva,3-8 A post-comprehensive level qualification,Other persons outside the labour force,II,Low,Finnish-speaking population
0,Males,Oulu,5 Short-cycle tertiary education,Employed,V,Medium,Finnish-speaking population
60,Males,Riihimäki,3-8 A post-comprehensive level qualification,Employed,II,Low,Finnish-speaking population
44,Males,Jakobstad,3-8 A post-comprehensive level qualification,Other persons outside the labour force,VI,Medium,Swedish-speaking population
41,Males,Kaarina,3-8 A post-comprehensive level qualification,Other persons outside the labour force,III,Low,Finnish-speaking population
0,Males,Iisalmi,3-8 A post-comprehensive level qualification,Pensioners,I,Low,Finnish-speaking population
45,Females,Vantaa,6 Bachelor's or equivalent level,Labour force,X,High,Finnish-speaking population
23,Females,Helsinki,3-8 A post-comprehensive level qualification,Labour force,IX,High,Swedish-speaking population
0,Females,Helsinki,3 Upper secondary education,Persons outside the labour force,X,High,Finnish-speaking population
0,Males,Kuopio,3-8 A post-comprehensive level qualification,Persons outside the labour force,VIII,High,Finnish-speaking population
0,Females,Helsinki,7 Master's or equivalent level,Persons outside the labour force,VIII,High,Finnish-speaking population
0,Males,Helsinki,3-8 A post-comprehensive level qualification,Persons outside the labour force,III,Low,Finnish-speaking population
52,Females,Helsinki,3-8 A post-comprehensive level qualification,Labour force,VI,Medium,Finnish-speaking population
0,Males,Oulu,3 Upper secondary education,Other persons outside the labour force,VII,Medium,Finnish-speaking population
0,Males,Oulu,3 Upper secondary education,Employed,IV,Medium,Finnish-speaking population
52,Females,Pargas,3-8 A post-comprehensive level qualification,Persons outside the labour force,IV,Medium,Finnish-speaking population
0,Females,Seinäjoki,3 Upper secondary education,Persons outside the labour force,IX,High,Finnish-speaking population
22,Females,Järvenpää,6 Bachelor's or equivalent level,Employed,IV,Medium,Finnish-speaking population
73,Males,Vaasa,7 Master's or equivalent level,Employed,VIII,High,Finnish-speaking population
38,Males,Rovaniemi,6 Bachelor's or equivalent level,Labour force,IV,Medium,Finnish-speaking population
16,Females,Tampere,7 Master's or equivalent level,0-14 years old,V,Medium,Finnish-speaking population
0,Males,Rauma,3-8 A post-comprehensive level qualification,0-14 years old,IV,Medium,Finnish-speaking population
0,Males,Kauhava,3-8 A post-comprehensive level qualification,Labour force,VII,Medium,Finnish-speaking population
34,Females,Jokioinen,6 Bachelor's or equivalent level,Employed,I,Low,Finnish-speaking population
67,Females,Kouvola,3-8 A post-comprehensive level qualification,Labour force,IX,High,Finnish-speaking population
57,Females,Helsinki,3-8 A post-comprehensive level qualification,Pensioners,I,Low,Finnish-speaking population
84,Females,Kuopio,3-8 A post-comprehensive level qualification,Pensioners,X,High,Finnish-speaking population
0,Males,Espoo,3-8 A post-comprehensive level qualification,Pensioners,I,Low,Finnish-speaking population
33,Males,Alajärvi,3-8 A post-comprehensive level qualification,Labour force,II,Low,Finnish-speaking population
41,Females,Vantaa,5 Short-cycle tertiary education,Unemployed,II,Low,Finnish-speaking population
51,Females,Porvoo,3-8 A post-comprehensive level qualification,Pensioners,VIII,High,Finnish-speaking population
49,Females,Mikkeli,9 Basic education,Pensioners,II,Low,Finnish-speaking population
0,Males,Kalajoki,3-8 A post-comprehensive level qualification,Labour force,VII,Medium,Finnish-speaking population
8,Males,Mäntsälä,9 Basic education,Labour force,II,Low,Finnish-speaking population
46,Males,Turku,4 Post-secondary non-tertiary education,Persons outside the labour force,I,Low,Finnish-speaking population
73,Males,Parikkala,3-8 A post-comprehensive level qualification,Pensioners,X,High,Finnish-speaking population
32,Males,Orimattila,3-8 A post-comprehensive level qualification,0-14 years old,V,Medium,Finnish-speaking population
82,Females,Kuopio,3 Upper secondary education,Persons outside the labour force,IV,Medium,Finnish-speaking population
11,Males,Kangasala,3 Upper secondary education,Persons outside the labour force,II,Low,Finnish-speaking population
0,Females,Pälkäne,3-8 A post-comprehensive level qualification,0-14 years old,IX,High,Finnish-speaking population
0,Females,Vihti,9 Basic education,"Students, pupils",VI,Medium,Finnish-speaking population
0,Males,Kouvola,3 Upper secondary education,Unemployed,IX,High,Finnish-speaking population
52,Males,Kittilä,3 Upper secondary education,Pensioners,II,Low,Finnish-speaking population
0,Males,Kouvola,3 Upper secondary education,Labour force,IV,Medium,Finnish-speaking population
31,Females,Kouvola,9 Basic education,Persons outside the labour force,II,Low,Finnish-speaking population
20,Females,Ylöjärvi,3-8 A post-comprehensive level qualification,Labour force,I,Low,Finnish-speaking population
0,Males,Raisio,7 Master's or equivalent level,Persons outside the labour force,V,Medium,Finnish-speaking population
91,Females,Kauhava,3-8 A post-comprehensive level qualification,Unemployed,VI,Medium,Finnish-speaking population
33,Males,Kempele,9 Basic education,Labour force,VIII,High,Finnish-speaking population
0,Males,Kouvola,7 Master's or equivalent level,Labour force,VII,Medium,Finnish-speaking population
0,Females,Espoo,3-8 A post-comprehensive level qualification,Employed,VIII,High,Finnish-speaking population
47,Males,Lieto,3-8 A post-comprehensive level qualification,Persons outside the labour force,III,Low,Finnish-speaking population
0,Females,Tampere,9 Basic education,Labour force,I,Low,Finnish-speaking population
87,Males,Pieksämäki,9 Basic education,Pensioners,III,Low,Finnish-speaking population
0,Males,Helsinki,5 Short-cycle tertiary education,Employed,II,Low,Finnish-speaking population
2,Females,Riihimäki,3 Upper secondary education,Persons outside the labour force,VIII,High,Finnish-speaking population
57,Females,Rauma,3-8 A post-comprehensive level qualification,Persons outside the labour force,X,High,Finnish-speaking population
0,Females,Jakobstad,9 Basic education,Persons outside the labour force,I,Low,Swedish-speaking population
61,Females,Oulu,5 Short-cycle tertiary education,Employed,I,Low,Finnish-speaking population
32,Males,Oulu,3-8 A post-comprehensive level qualification,Persons outside the labour force,IX,High,Finnish-speaking population
0,Males,Tampere,7 Master's or equivalent level,Employed,VI,Medium,Finnish-speaking population
35,Males,Helsinki,3-8 A post-comprehensive level qualification,Labour force,IX,High,Finnish-speaking population
16,Males,Helsinki,6 Bachelor's or equivalent level,Labour force,X,High,Finnish-speaking population
35,Males,Lahti,3 Upper secondary education,Persons outside the labour force,VI,Medium,Finnish-speaking population
13,Females,Espoo,9 Basic education,Persons outside the labour force,VIII,High,Finnish-speaking population
0,Males,Kotka,3-8 A post-comprehensive level qualification,"Students, pupils",VII,Medium,Finnish-speaking population
44,Males,Sipoo,9 Basic education,Labour force,IX,High,Finnish-speaking population
82,Females,Helsinki,6 Bachelor's or equivalent level,Employed,III,Low,Finnish-speaking population
0,Males,Kuopio,3-8 A post-comprehensive level qualification,Persons outside the labour force,VIII,High,Finnish-speaking population
78,Females,Ylöjärvi,6 Bachelor's or equivalent level,Labour force,VII,Medium,Finnish-speaking population
11,Males,Lappeenranta,3-8 A post-comprehensive level qualification,Persons outside the labour force,I,Low,Finnish-speaking population
0,Males,Lappeenranta,9 Basic education,Labour force,I,Low,Finnish-speaking population
74,Females,Mikkeli,5 Short-cycle tertiary education,Pensioners,IX,High,Finnish-speaking population
0,Females,Helsinki,3-8 A post-comprehensive level qualification,Persons outside the labour force,IX,High,Finnish-speaking population
10,Males,Helsinki,3-8 A post-comprehensive level qualification,Persons outside the labour force,VIII,High,Finnish-speaking population
12,Males,Pori,9 Basic education,Persons outside the labour force,X,High,Finnish-speaking population
9,Males,Kokkola,3-8 A post-comprehensive level qualification,Employed,VI,Medium,Finnish-speaking population
0,Males,Jyväskylä,3-8 A post-comprehensive level qualification,Persons outside the labour force,I,Low,Finnish-speaking population
40,Males,Espoo,3 Upper secondary education,Employed,VIII,High,Finnish-speaking population
0,Males,Tampere,5 Short-cycle tertiary education,Unemployed,II,Low,Finnish-speaking population
49,Females,Espoo,3-8 A post-comprehensive level qualification,Labour force,IX,High,Finnish-speaking population
0,Males,Salo,3-8 A post-comprehensive level qualification,Persons outside the labour force,VII,Medium,Finnish-speaking population
58,Males,Kimitoön,3-8 A post-comprehensive level qualification,Employed,I,Low,Swedish-speaking population
0,Females,Nykarleby,9 Basic education,0-14 years old,IX,High,Swedish-speaking population
34,Females,Iisalmi,3-8 A post-comprehensive level qualification,0-14 years old,V,Medium,Finnish-speaking population
19,Males,Helsinki,9 Basic education,Labour force,VI,Medium,Finnish-speaking population
13,Females,Lohja,9 Basic education,Employed,IX,High,Finnish-speaking population
37,Females,Pyhtää,3-8 A post-comprehensive level qualification,Unemployed,III,Low,Finnish-speaking population
0,Females,Helsinki,3-8 A post-comprehensive level qualification,"Students, pupils",IV,Medium,Finnish-speaking population
30,Males,Kronoby,6 Bachelor's or equivalent level,Pensioners,VI,Medium,Swedish-speaking population
0,Females,Kuopio,3-8 A post-comprehensive level qualification,Pensioners,II,Low,Finnish-speaking population
0,Males,Hollola,3 Upper secondary education,Pensioners,VIII,High,Finnish-speaking population
0,Males,Muonio,3 Upper secondary education,Persons outside the labour force,IV,Medium,Finnish-speaking population
0,Males,Helsinki,3 Upper secondary education,Employed,X,High,Finnish-speaking population
0,Females,Lapua,3 Upper secondary education,Labour force,VII,Medium,Finnish-speaking population
0,Males,Helsinki,3 Upper secondary education,Labour force,III,Low,Finnish-speaking population
0,Males,Lahti,3-8 A post-comprehensive level qualification,Persons outside the labour force,II,Low,Finnish-speaking population
8,Females,Jyväskylä,3-8 A post-comprehensive level qualification,Labour force,IV,Medium,Finnish-speaking population
0,Males,Kuopio,3-8 A post-comprehensive level qualification,Persons outside the labour force,III,Low,Finnish-speaking population
0,Females,Kouvola,3-8 A post-comprehensive level qualification,Pensioners,IX,High,Finnish-speaking population
12,Males,Uusikaupunki,3 Upper secondary education,Persons outside the labour force,III,Low,Finnish-speaking population
62,Females,Lahti,9 Basic education,Persons outside the labour force,II,Low,Finnish-speaking population
0,Males,Tampere,3-8 A post-comprehensive level qualification,Labour force,I,Low,Finnish-speaking population
33,Females,Hyvinkää,3 Upper secondary education,Employed,I,Low,Finnish-speaking population
54,Males,Kannus,4 Post-secondary non-tertiary education,Persons outside the labour force,IV,Medium,Finnish-speaking population
33,Females,Forssa,3-8 A post-comprehensive level qualification,Employed,III,Low,Finnish-speaking population
56,Females,Kotka,3-8 A post-comprehensive level qualification,0-14 years old,VI,Medium,Finnish-speaking population
40,Females,Pori,3 Upper secondary education,Persons outside the labour force,II,Low,Finnish-speaking population
0,Males,Tampere,9 Basic education,Persons outside the labour force,III,Low,Finnish-speaking population
0,Females,Muurame,3-8 A post-comprehensive level qualification,Labour force,VIII,High,Finnish-speaking population
0,Males,Oulu,3-8 A post-comprehensive level qualification,Labour force,I,Low,Finnish-speaking population
0,Females,Helsinki,3-8 A post-comprehensive level qualification,Persons outside the labour force,III,Low,Finnish-speaking population
0,Females,Espoo,7 Master's or equivalent level,Labour force,II,Low,Finnish-speaking population
89,Males,Soini,9 Basic education,Persons outside the labour force,I,Low,Finnish-speaking population
32,Females,Helsinki,7 Master's or equivalent level,Persons outside the labour force,II,Low,Swedish-speaking population
0,Females,Heinola,6 Bachelor's or equivalent level,Employed,III,Low,Finnish-speaking population
0,Females,Vantaa,3 Upper secondary education,Employed,II,Low,Finnish-speaking population
34,Males,Vantaa,8 Doctoral or equivalent level,Pensioners,II,Low,Finnish-speaking population
39,Females,Oulu,3-8 A post-comprehensive level qualification,Labour force,IV,Medium,Finnish-speaking population
26,Females,Kerava,5 Short-cycle tertiary education,Unemployed,VIII,High,Finnish-speaking population
0,Females,Tampere,3-8 A post-comprehensive level qualification,Labour force,VIII,High,Finnish-speaking population
33,Females,Helsinki,3-8 A post-comprehensive level qualification,Other persons outside the labour force,VIII,High,Finnish-speaking population
81,Males,Kouvola,6 Bachelor's or equivalent level,Persons outside the labour force,VIII,High,Finnish-speaking population
62,Males,Kauhajoki,3-8 A post-comprehensive level qualification,Persons outside the labour force,II,Low,Finnish-speaking population
6,Males,Vaasa,9 Basic education,Employed,II,Low,Finnish-speaking population
0,Females,Vaasa,6 Bachelor's or equivalent level,Employed,I,Low,Swedish-speaking population
0,Males,Pargas,3-8 A post-comprehensive level qualification,Persons outside the labour force,IX,High,Finnish-speaking population
0,Males,Helsinki,3-8 A post-comprehensive level qualification,Employed,X,High,Finnish-speaking population
22,Females,Lahti,9 Basic education,Persons outside the labour force,II,Low,Finnish-speaking population
0,Females,Ii,9 Basic education,Employed,V,Medium,Finnish-speaking population
6,Males,Turku,3 Upper secondary education,Persons outside the labour force,VIII,High,Finnish-speaking population
55,Females,Helsinki,3 Upper secondary education,Labour force,II,Low,Finnish-speaking population
0,Females,Espoo,4 Post-secondary non-tertiary education,Employed,IV,Medium,Finnish-speaking population
0,Females,Raahe,9 Basic education,Employed,VIII,High,Finnish-speaking population
0,Males,Kuopio,3 Upper secondary education,"Students, pupils",II,Low,Finnish-speaking population
0,Females,Tampere,3-8 A post-comprehensive level qualification,Labour force,I,Low,Finnish-speaking population
0,Males,Forssa,3-8 A post-comprehensive level qualification,Unemployed,II,Low,Finnish-speaking population
61,Males,Taipalsaari,3 Upper secondary education,Employed,VII,Medium,Finnish-speaking population
0,Females,Espoo,3-8 A post-comprehensive level qualification,Persons outside the labour force,IX,High,Finnish-speaking population
0,Females,Espoo,3-8 A post-comprehensive level qualification,Persons outside the labour force,VIII,High,Finnish-speaking population
73,Females,Kuortane,9 Basic education,Persons outside the labour force,I,Low,Finnish-speaking population
68,Females,Humppila,4 Post-secondary non-tertiary education,Employed,I,Low,Finnish-speaking population
13,Females,Nurmijärvi,3-8 A post-comprehensive level qualification,Employed,IX,High,Finnish-speaking population
0,Males,Espoo,7 Master's or equivalent level,Labour force,X,High,Finnish-speaking population
59,Females,Espoo,6 Bachelor's or equivalent level,Employed,IX,High,Finnish-speaking population
0,Females,Riihimäki,3 Upper secondary education,"Students, pupils",VI,Medium,Finnish-speaking population
0,Females,Helsinki,9 Basic education,Pensioners,II,Low,Finnish-speaking population
0,Males,Pello,7 Master's or equivalent level,Persons outside the labour force,VIII,High,Finnish-speaking population
38,Males,Salo,3-8 A post-comprehensive level qualification,Labour force,V,Medium,Finnish-speaking population
78,Males,Espoo,3-8 A post-comprehensive level qualification,Employed,VII,Medium,Finnish-speaking population
0,Males,Seinäjoki,3-8 A post-comprehensive level qualification,Employed,III,Low,Finnish-speaking population
46,Males,Janakkala,9 Basic education,Labour force,V,Medium,Finnish-speaking population
0,Males,Kirkkonummi,3-8 A post-comprehensive level qualification,Employed,VI,Medium,Finnish-speaking population
0,Females,Hattula,6 Bachelor's or equivalent level,0-14 years old,VII,Medium,Finnish-speaking population
21,Males,Tampere,3 Upper secondary education,Other persons outside the labour force,II,Low,Finnish-speaking population
43,Females,Mikkeli,3-8 A post-comprehensive level qualification,Persons outside the labour force,II,Low,Finnish-speaking population
0,Females,Lappeenranta,6 Bachelor's or equivalent level,Persons outside the labour force,I,Low,Finnish-speaking population
22,Females,Vantaa,3-8 A post-comprehensive level qualification,Persons outside the labour force,VI,Medium,Finnish-speaking population
0,Females,Kajaani,9 Basic education,Pensioners,II,Low,Finnish-speaking population
0,Females,Turku,9 Basic education,Labour force,I,Low,Finnish-speaking population
28,Females,Rauma,3-8 A post-comprehensive level qualification,"Students, pupils",VII,Medium,Finnish-speaking population
30,Females,Vantaa,3-8 A post-comprehensive level qualification,Employed,X,High,Finnish-speaking population
0,Males,Uusikaupunki,3-8 A post-comprehensive level qualification,Persons outside the labour force,IX,High,Finnish-speaking population
89,Females,Ylöjärvi,3-8 A post-comprehensive level qualification,Employed,X,High,Finnish-speaking population
77,Females,Helsinki,3-8 A post-comprehensive level qualification,Employed,X,High,Finnish-speaking population
0,Males,Sulkava,9 Basic education,Pensioners,IV,Medium,Finnish-speaking population
22,Males,Tampere,3 Upper secondary education,Persons outside the labour force,II,Low,Finnish-speaking population
0,Males,Oulu,3-8 A post-comprehensive level qualification,Labour force,VI,Medium,Finnish-speaking population
0,Females,Joensuu,3-8 A post-comprehensive level qualification,Employed,VII,Medium,Finnish-speaking population
0,Females,Vantaa,6 Bachelor's or equivalent level,Persons outside the labour force,III,Low,Finnish-speaking population
0,Males,Helsinki,3 Upper secondary education,Persons outside the labour force,VIII,High,Finnish-speaking population
27,Females,Lappeenranta,3 Upper secondary education,Pensioners,IV,Medium,Finnish-speaking population
0,Males,Leppävirta,3-8 A post-comprehensive level qualification,Unemployed,V,Medium,Finnish-speaking population
