Area,Education,value
Lieksa,3 Upper secondary education,4421.0
Lieksa,4 Post-secondary non-tertiary education,104.0
Lieksa,5 Short-cycle tertiary education,811.0
Lieksa,6 Bachelor's or equivalent level,650.0
Lieksa,7 Master's or equivalent level,392.0
Lieksa,8 Doctoral or equivalent level,21.0
Lieksa,9 Basic education,2725.0
Lieto,Total,16883.0
Lieto,3-8 A post-comprehensive level qualification,13211.0
Lieto,3 Upper secondary education,6530.0
Lieto,4 Post-secondary non-tertiary education,283.0
Lieto,5 Short-cycle tertiary education,1502.0
Lieto,6 Bachelor's or equivalent level,2532.0
Lieto,7 Master's or equivalent level,2088.0
Lieto,8 Doctoral or equivalent level,276.0
Lieto,9 Basic education,3672.0
Liminka,Total,7282.0
Liminka,3-8 A post-comprehensive level qualification,5643.0
Liminka,3 Upper secondary education,3030.0
Liminka,4 Post-secondary non-tertiary education,99.0
Liminka,5 Short-cycle tertiary education,480.0
Liminka,6 Bachelor's or equivalent level,1206.0
Liminka,7 Master's or equivalent level,765.0
Liminka,8 Doctoral or equivalent level,63.0
Liminka,9 Basic education,1639.0
Liperi,Total,9912.0
Liperi,3-8 A post-comprehensive level qualification,7778.0
Liperi,3 Upper secondary education,4768.0
Liperi,4 Post-secondary non-tertiary education,160.0
Liperi,5 Short-cycle tertiary education,797.0
Liperi,6 Bachelor's or equivalent level,1255.0
Liperi,7 Master's or equivalent level,730.0
Liperi,8 Doctoral or equivalent level,68.0
Liperi,9 Basic education,2134.0
Lohja,Total,39234.0
Lohja,3-8 A post-comprehensive level qualification,28155.0
Lohja,3 Upper secondary education,16167.0
Lohja,4 Post-secondary non-tertiary education,648.0
Lohja,5 Short-cycle tertiary education,3851.0
Lohja,6 Bachelor's or equivalent level,4255.0
Lohja,7 Master's or equivalent level,2998.0
Lohja,8 Doctoral or equivalent level,236.0
Lohja,9 Basic education,11079.0
Loimaa,Total,13354.0
Loimaa,3-8 A post-comprehensive level qualification,9481.0
Loimaa,3 Upper secondary education,5924.0
Loimaa,4 Post-secondary non-tertiary education,177.0
Loimaa,5 Short-cycle tertiary education,1478.0
Loimaa,6 Bachelor's or equivalent level,1171.0
Loimaa,7 Master's or equivalent level,709.0
Loimaa,8 Doctoral or equivalent level,22.0
Loimaa,9 Basic education,3873.0
Loppi,Total,6557.0
Loppi,3-8 A post-comprehensive level qualification,4736.0
Loppi,3 Upper secondary education,2999.0
Loppi,4 Post-secondary non-tertiary education,124.0
Loppi,5 Short-cycle tertiary education,570.0
Loppi,6 Bachelor's or equivalent level,667.0
Loppi,7 Master's or equivalent level,355.0
Loppi,8 Doctoral or equivalent level,21.0
Loppi,9 Basic education,1821.0
Loviisa,Total,12570.0
Loviisa,3-8 A post-comprehensive level qualification,8755.0
Loviisa,3 Upper secondary education,5191.0
Loviisa,4 Post-secondary non-tertiary education,179.0
Loviisa,5 Short-cycle tertiary education,1218.0
Loviisa,6 Bachelor's or equivalent level,1238.0
Loviisa,7 Master's or equivalent level,862.0
Loviisa,8 Doctoral or equivalent level,67.0
Loviisa,9 Basic education,3815.0
Luhanka,Total,646.0
Luhanka,3-8 A post-comprehensive level qualification,444.0
Luhanka,3 Upper secondary education,262.0
Luhanka,4 Post-secondary non-tertiary education,12.0
Luhanka,5 Short-cycle tertiary education,56.0
Luhanka,6 Bachelor's or equivalent level,59.0
Luhanka,7 Master's or equivalent level,44.0
Luhanka,8 Doctoral or equivalent level,11.0
Luhanka,9 Basic education,202.0
Lumijoki,Total,1530.0
Lumijoki,3-8 A post-comprehensive level qualification,1080.0
Lumijoki,3 Upper secondary education,723.0
Lumijoki,4 Post-secondary non-tertiary education,16.0
Lumijoki,5 Short-cycle tertiary education,91.0
Lumijoki,6 Bachelor's or equivalent level,168.0
Lumijoki,7 Master's or equivalent level,71.0
Lumijoki,8 Doctoral or equivalent level,11.0
Lumijoki,9 Basic education,450.0
Lumparland,Total,325.0
Lumparland,3-8 A post-comprehensive level qualification,226.0
Lumparland,3 Upper secondary education,122.0
Lumparland,4 Post-secondary non-tertiary education,2.0
Lumparland,5 Short-cycle tertiary education,39.0
Lumparland,6 Bachelor's or equivalent level,36.0
Lumparland,7 Master's or equivalent level,25.0
Lumparland,8 Doctoral or equivalent level,2.0
Lumparland,9 Basic education,99.0
Larsmo,Total,4148.0
Larsmo,3-8 A post-comprehensive level qualification,3100.0
Larsmo,3 Upper secondary education,1988.0
Larsmo,4 Post-secondary non-tertiary education,59.0
Larsmo,5 Short-cycle tertiary education,267.0
Larsmo,6 Bachelor's or equivalent level,509.0
Larsmo,7 Master's or equivalent level,270.0
Larsmo,8 Doctoral or equivalent level,7.0
Larsmo,9 Basic education,1048.0
Luumäki,Total,3871.0
Luumäki,3-8 A post-comprehensive level qualification,2691.0
Luumäki,3 Upper secondary education,1744.0
Luumäki,4 Post-secondary non-tertiary education,38.0
Luumäki,5 Short-cycle tertiary education,327.0
Luumäki,6 Bachelor's or equivalent level,362.0
Luumäki,7 Master's or equivalent level,206.0
Luumäki,8 Doctoral or equivalent level,14.0
Luumäki,9 Basic education,1180.0
Malax,Total,4607.0
Malax,3-8 A post-comprehensive level qualification,3425.0
Malax,3 Upper secondary education,1958.0
Malax,4 Post-secondary non-tertiary education,48.0
Malax,5 Short-cycle tertiary education,437.0
Malax,6 Bachelor's or equivalent level,611.0
Malax,7 Master's or equivalent level,352.0
Malax,8 Doctoral or equivalent level,19.0
Malax,9 Basic education,1182.0
Mariehamn,Total,10211.0
Mariehamn,3-8 A post-comprehensive level qualification,7357.0
Mariehamn,3 Upper secondary education,3622.0
Mariehamn,4 Post-secondary non-tertiary education,81.0
Mariehamn,5 Short-cycle tertiary education,1043.0
Mariehamn,6 Bachelor's or equivalent level,1398.0
Mariehamn,7 Master's or equivalent level,1139.0
Mariehamn,8 Doctoral or equivalent level,74.0
Mariehamn,9 Basic education,2854.0
Marttila,Total,1631.0
Marttila,3-8 A post-comprehensive level qualification,1155.0
Marttila,3 Upper secondary education,738.0
Marttila,4 Post-secondary non-tertiary education,28.0
Marttila,5 Short-cycle tertiary education,131.0
Marttila,6 Bachelor's or equivalent level,155.0
Marttila,7 Master's or equivalent level,97.0
Marttila,8 Doctoral or equivalent level,6.0
Marttila,9 Basic education,476.0
Masku,Total,7842.0
Masku,3-8 A post-comprehensive level qualification,6187.0
Masku,3 Upper secondary education,3245.0
Masku,4 Post-secondary non-tertiary education,168.0
Masku,5 Short-cycle tertiary education,752.0
Masku,6 Bachelor's or equivalent level,1113.0
Masku,7 Master's or equivalent level,832.0
Masku,8 Doctoral or equivalent level,77.0
Masku,9 Basic education,1655.0
Merijärvi,Total,798.0
Merijärvi,3-8 A post-comprehensive level qualification,546.0
Merijärvi,3 Upper secondary education,429.0
Merijärvi,4 Post-secondary non-tertiary education,4.0
Merijärvi,5 Short-cycle tertiary education,33.0
Merijärvi,6 Bachelor's or equivalent level,68.0
Merijärvi,7 Master's or equivalent level,10.0
Merijärvi,8 Doctoral or equivalent level,2.0
Merijärvi,9 Basic education,252.0
Merikarvia,Total,2483.0
Merikarvia,3-8 A post-comprehensive level qualification,1651.0
Merikarvia,3 Upper secondary education,1075.0
Merikarvia,4 Post-secondary non-tertiary education,33.0
Merikarvia,5 Short-cycle tertiary education,204.0
Merikarvia,6 Bachelor's or equivalent level,216.0
Merikarvia,7 Master's or equivalent level,121.0
Merikarvia,8 Doctoral or equivalent level,2.0
Merikarvia,9 Basic education,832.0
Miehikkälä,Total,1550.0
Miehikkälä,3-8 A post-comprehensive level qualification,995.0
Miehikkälä,3 Upper secondary education,710.0
Miehikkälä,4 Post-secondary non-tertiary education,17.0
Miehikkälä,5 Short-cycle tertiary education,111.0
Miehikkälä,6 Bachelor's or equivalent level,97.0
Miehikkälä,7 Master's or equivalent level,57.0
Miehikkälä,8 Doctoral or equivalent level,3.0
Miehikkälä,9 Basic education,555.0
Mikkeli,Total,45146.0
Mikkeli,3-8 A post-comprehensive level qualification,34484.0
Mikkeli,3 Upper secondary education,19266.0
Mikkeli,4 Post-secondary non-tertiary education,586.0
Mikkeli,5 Short-cycle tertiary education,4413.0
Mikkeli,6 Bachelor's or equivalent level,6142.0
Mikkeli,7 Master's or equivalent level,3800.0
Mikkeli,8 Doctoral or equivalent level,277.0
Mikkeli,9 Basic education,10662.0
Muhos,Total,6871.0
Muhos,3-8 A post-comprehensive level qualification,5305.0
Muhos,3 Upper secondary education,3278.0
Muhos,4 Post-secondary non-tertiary education,96.0
Muhos,5 Short-cycle tertiary education,522.0
Muhos,6 Bachelor's or equivalent level,893.0
Muhos,7 Master's or equivalent level,475.0
Muhos,8 Doctoral or equivalent level,41.0
Muhos,9 Basic education,1566.0
Multia,Total,1232.0
Multia,3-8 A post-comprehensive level qualification,886.0
Multia,3 Upper secondary education,606.0
Multia,4 Post-secondary non-tertiary education,19.0
Multia,5 Short-cycle tertiary education,111.0
Multia,6 Bachelor's or equivalent level,93.0
Multia,7 Master's or equivalent level,52.0
Multia,8 Doctoral or equivalent level,5.0
Multia,9 Basic education,346.0
Muonio,Total,1983.0
Muonio,3-8 A post-comprehensive level qualification,1529.0
Muonio,3 Upper secondary education,949.0
Muonio,4 Post-secondary non-tertiary education,24.0
Muonio,5 Short-cycle tertiary education,195.0
Muonio,6 Bachelor's or equivalent level,211.0
Muonio,7 Master's or equivalent level,143.0
Muonio,8 Doctoral or equivalent level,7.0
Muonio,9 Basic education,454.0
Korsholm,Total,16088.0
Korsholm,3-8 A post-comprehensive level qualification,12844.0
Korsholm,3 Upper secondary education,6226.0
Korsholm,4 Post-secondary non-tertiary education,188.0
Korsholm,5 Short-cycle tertiary education,1600.0
Korsholm,6 Bachelor's or equivalent level,2700.0
Korsholm,7 Master's or equivalent level,2010.0
Korsholm,8 Doctoral or equivalent level,120.0
Korsholm,9 Basic education,3244.0
Muurame,Total,8485.0
Muurame,3-8 A post-comprehensive level qualification,6875.0
Muurame,3 Upper secondary education,3278.0
Muurame,4 Post-secondary non-tertiary education,154.0
Muurame,5 Short-cycle tertiary education,828.0
Muurame,6 Bachelor's or equivalent level,1341.0
Muurame,7 Master's or equivalent level,1138.0
Muurame,8 Doctoral or equivalent level,136.0
Muurame,9 Basic education,1610.0
Mynämäki,Total,6416.0
Mynämäki,3-8 A post-comprehensive level qualification,4701.0
Mynämäki,3 Upper secondary education,2994.0
Mynämäki,4 Post-secondary non-tertiary education,122.0
Mynämäki,5 Short-cycle tertiary education,545.0
Mynämäki,6 Bachelor's or equivalent level,621.0
Mynämäki,7 Master's or equivalent level,388.0
Mynämäki,8 Doctoral or equivalent level,31.0
Mynämäki,9 Basic education,1715.0
Myrskylä,Total,1471.0
Myrskylä,3-8 A post-comprehensive level qualification,1023.0
Myrskylä,3 Upper secondary education,675.0
Myrskylä,4 Post-secondary non-tertiary education,28.0
Myrskylä,5 Short-cycle tertiary education,132.0
Myrskylä,6 Bachelor's or equivalent level,116.0
Myrskylä,7 Master's or equivalent level,70.0
Myrskylä,8 Doctoral or equivalent level,2.0
Myrskylä,9 Basic education,448.0
Mäntsälä,Total,17320.0
Mäntsälä,3-8 A post-comprehensive level qualification,12502.0
Mäntsälä,3 Upper secondary education,7478.0
Mäntsälä,4 Post-secondary non-tertiary education,347.0
Mäntsälä,5 Short-cycle tertiary education,1371.0
Mäntsälä,6 Bachelor's or equivalent level,1949.0
Mäntsälä,7 Master's or equivalent level,1276.0
Mäntsälä,8 Doctoral or equivalent level,81.0
Mäntsälä,9 Basic education,4818.0
Mänttä-Vilppula,Total,8272.0
Mänttä-Vilppula,3-8 A post-comprehensive level qualification,5871.0
Mänttä-Vilppula,3 Upper secondary education,4002.0
Mänttä-Vilppula,4 Post-secondary non-tertiary education,98.0
Mänttä-Vilppula,5 Short-cycle tertiary education,864.0
Mänttä-Vilppula,6 Bachelor's or equivalent level,560.0
Mänttä-Vilppula,7 Master's or equivalent level,328.0
Mänttä-Vilppula,8 Doctoral or equivalent level,19.0
Mänttä-Vilppula,9 Basic education,2401.0
Mäntyharju,Total,6340.0
Mäntyharju,3-8 A post-comprehensive level qualification,4236.0
Mäntyharju,3 Upper secondary education,2791.0
Mäntyharju,4 Post-secondary non-tertiary education,70.0
Mäntyharju,5 Short-cycle tertiary education,535.0
Mäntyharju,6 Bachelor's or equivalent level,522.0
Mäntyharju,7 Master's or equivalent level,297.0
Mäntyharju,8 Doctoral or equivalent level,21.0
Mäntyharju,9 Basic education,2104.0
Naantali,Total,17272.0
Naantali,3-8 A post-comprehensive level qualification,13472.0
Naantali,3 Upper secondary education,6567.0
Naantali,4 Post-secondary non-tertiary education,289.0
Naantali,5 Short-cycle tertiary education,2067.0
Naantali,6 Bachelor's or equivalent level,2303.0
Naantali,7 Master's or equivalent level,2066.0
Naantali,8 Doctoral or equivalent level,180.0
Naantali,9 Basic education,3800.0
Nakkila,Total,4274.0
Nakkila,3-8 A post-comprehensive level qualification,3106.0
Nakkila,3 Upper secondary education,1956.0
Nakkila,4 Post-secondary non-tertiary education,62.0
Nakkila,5 Short-cycle tertiary education,407.0
Nakkila,6 Bachelor's or equivalent level,426.0
Nakkila,7 Master's or equivalent level,243.0
Nakkila,8 Doctoral or equivalent level,12.0
Nakkila,9 Basic education,1168.0
Nivala,Total,8225.0
Nivala,3-8 A post-comprehensive level qualification,6032.0
Nivala,3 Upper secondary education,4294.0
Nivala,4 Post-secondary non-tertiary education,95.0
Nivala,5 Short-cycle tertiary education,534.0
Nivala,6 Bachelor's or equivalent level,729.0
Nivala,7 Master's or equivalent level,367.0
Nivala,8 Doctoral or equivalent level,13.0
Nivala,9 Basic education,2193.0
Nokia,Total,30230.0
Nokia,3-8 A post-comprehensive level qualification,23224.0
Nokia,3 Upper secondary education,13064.0
Nokia,4 Post-secondary non-tertiary education,480.0
Nokia,5 Short-cycle tertiary education,2464.0
Nokia,6 Bachelor's or equivalent level,4058.0
Nokia,7 Master's or equivalent level,2959.0
Nokia,8 Doctoral or equivalent level,199.0
Nokia,9 Basic education,7006.0
Nousiainen,Total,3833.0
Nousiainen,3-8 A post-comprehensive level qualification,2914.0
Nousiainen,3 Upper secondary education,1749.0
Nousiainen,4 Post-secondary non-tertiary education,84.0
Nousiainen,5 Short-cycle tertiary education,311.0
Nousiainen,6 Bachelor's or equivalent level,495.0
Nousiainen,7 Master's or equivalent level,260.0
Nousiainen,8 Doctoral or equivalent level,15.0
Nousiainen,9 Basic education,919.0
Nurmes,Total,8007.0
Nurmes,3-8 A post-comprehensive level qualification,5603.0
Nurmes,3 Upper secondary education,3894.0
Nurmes,4 Post-secondary non-tertiary education,93.0
Nurmes,5 Short-cycle tertiary education,724.0
Nurmes,6 Bachelor's or equivalent level,559.0
Nurmes,7 Master's or equivalent level,323.0
Nurmes,8 Doctoral or equivalent level,10.0
Nurmes,9 Basic education,2404.0
Nurmijärvi,Total,36733.0
Nurmijärvi,3-8 A post-comprehensive level qualification,27098.0
Nurmijärvi,3 Upper secondary education,14327.0
Nurmijärvi,4 Post-secondary non-tertiary education,708.0
Nurmijärvi,5 Short-cycle tertiary education,3184.0
Nurmijärvi,6 Bachelor's or equivalent level,4911.0
Nurmijärvi,7 Master's or equivalent level,3676.0
Nurmijärvi,8 Doctoral or equivalent level,292.0
Nurmijärvi,9 Basic education,9635.0
Närpes,Total,8050.0
Närpes,3-8 A post-comprehensive level qualification,5185.0
Närpes,3 Upper secondary education,3183.0
Närpes,4 Post-secondary non-tertiary education,72.0
Närpes,5 Short-cycle tertiary education,661.0
Närpes,6 Bachelor's or equivalent level,792.0
Närpes,7 Master's or equivalent level,458.0
Närpes,8 Doctoral or equivalent level,19.0
Närpes,9 Basic education,2865.0
Orimattila,Total,13262.0
Orimattila,3-8 A post-comprehensive level qualification,9410.0
Orimattila,3 Upper secondary education,6182.0
Orimattila,4 Post-secondary non-tertiary education,214.0
Orimattila,5 Short-cycle tertiary education,1042.0
Orimattila,6 Bachelor's or equivalent level,1282.0
Orimattila,7 Master's or equivalent level,654.0
Orimattila,8 Doctoral or equivalent level,36.0
Orimattila,9 Basic education,3852.0
Oripää,Total,1102.0
Oripää,3-8 A post-comprehensive level qualification,704.0
Oripää,3 Upper secondary education,469.0
Oripää,4 Post-secondary non-tertiary education,15.0
Oripää,5 Short-cycle tertiary education,89.0
Oripää,6 Bachelor's or equivalent level,70.0
Oripää,7 Master's or equivalent level,58.0
Oripää,8 Doctoral or equivalent level,3.0
Oripää,9 Basic education,398.0
Orivesi,Total,7683.0
Orivesi,3-8 A post-comprehensive level qualification,5691.0
Orivesi,3 Upper secondary education,3469.0
Orivesi,4 Post-secondary non-tertiary education,111.0
Orivesi,5 Short-cycle tertiary education,730.0
Orivesi,6 Bachelor's or equivalent level,791.0
Orivesi,7 Master's or equivalent level,551.0
Orivesi,8 Doctoral or equivalent level,39.0
Orivesi,9 Basic education,1992.0
Oulainen,Total,5838.0
Oulainen,3-8 A post-comprehensive level qualification,4281.0
Oulainen,3 Upper secondary education,2834.0
Oulainen,4 Post-secondary non-tertiary education,64.0
Oulainen,5 Short-cycle tertiary education,564.0
Oulainen,6 Bachelor's or equivalent level,539.0
Oulainen,7 Master's or equivalent level,267.0
Oulainen,8 Doctoral or equivalent level,13.0
Oulainen,9 Basic education,1557.0
Oulu,Total,182438.0
Oulu,3-8 A post-comprehensive level qualification,146798.0
Oulu,3 Upper secondary education,73864.0
Oulu,4 Post-secondary non-tertiary education,1779.0
Oulu,5 Short-cycle tertiary education,13153.0
Oulu,6 Bachelor's or equivalent level,29153.0
Oulu,7 Master's or equivalent level,25201.0
Oulu,8 Doctoral or equivalent level,3648.0
Oulu,9 Basic education,35640.0
Outokumpu,Total,5642.0
Outokumpu,3-8 A post-comprehensive level qualification,3983.0
Outokumpu,3 Upper secondary education,2798.0
Outokumpu,4 Post-secondary non-tertiary education,77.0
Outokumpu,5 Short-cycle tertiary education,426.0
Outokumpu,6 Bachelor's or equivalent level,430.0
Outokumpu,7 Master's or equivalent level,229.0
Outokumpu,8 Doctoral or equivalent level,23.0
Outokumpu,9 Basic education,1659.0
Padasjoki,Total,2443.0
Padasjoki,3-8 A post-comprehensive level qualification,1596.0
Padasjoki,3 Upper secondary education,1078.0
Padasjoki,4 Post-secondary non-tertiary education,27.0
Padasjoki,5 Short-cycle tertiary education,198.0
Padasjoki,6 Bachelor's or equivalent level,188.0
Padasjoki,7 Master's or equivalent level,104.0
Padasjoki,8 Doctoral or equivalent level,1.0
Padasjoki,9 Basic education,847.0
Paimio,Total,9185.0
Paimio,3-8 A post-comprehensive level qualification,7045.0
Paimio,3 Upper secondary education,3763.0
Paimio,4 Post-secondary non-tertiary education,182.0
Paimio,5 Short-cycle tertiary education,862.0
Paimio,6 Bachelor's or equivalent level,1274.0
Paimio,7 Master's or equivalent level,887.0
Paimio,8 Doctoral or equivalent level,77.0
Paimio,9 Basic education,2140.0
Paltamo,Total,2652.0
Paltamo,3-8 A post-comprehensive level qualification,1908.0
Paltamo,3 Upper secondary education,1320.0
Paltamo,4 Post-secondary non-tertiary education,28.0
Paltamo,5 Short-cycle tertiary education,220.0
Paltamo,6 Bachelor's or equivalent level,218.0
Paltamo,7 Master's or equivalent level,117.0
Paltamo,8 Doctoral or equivalent level,5.0
Paltamo,9 Basic education,744.0
Pargas,Total,12810.0
Pargas,3-8 A post-comprehensive level qualification,9681.0
Pargas,3 Upper secondary education,4851.0
Pargas,4 Post-secondary non-tertiary education,151.0
Pargas,5 Short-cycle tertiary education,1343.0
Pargas,6 Bachelor's or equivalent level,1668.0
Pargas,7 Master's or equivalent level,1479.0
Pargas,8 Doctoral or equivalent level,189.0
Pargas,9 Basic education,3129.0
Parikkala,Total,3886.0
Parikkala,3-8 A post-comprehensive level qualification,2722.0
Parikkala,3 Upper secondary education,1890.0
Parikkala,4 Post-secondary non-tertiary education,36.0
Parikkala,5 Short-cycle tertiary education,342.0
Parikkala,6 Bachelor's or equivalent level,276.0
Parikkala,7 Master's or equivalent level,171.0
Parikkala,8 Doctoral or equivalent level,7.0
Parikkala,9 Basic education,1164.0
Parkano,Total,5306.0
Parkano,3-8 A post-comprehensive level qualification,3723.0
Parkano,3 Upper secondary education,2572.0
Parkano,4 Post-secondary non-tertiary education,92.0
Parkano,5 Short-cycle tertiary education,451.0
Parkano,6 Bachelor's or equivalent level,411.0
Parkano,7 Master's or equivalent level,183.0
Parkano,8 Doctoral or equivalent level,14.0
Parkano,9 Basic education,1583.0
Pedersöre,Total,8701.0
Pedersöre,3-8 A post-comprehensive level qualification,6440.0
Pedersöre,3 Upper secondary education,4120.0
Pedersöre,4 Post-secondary non-tertiary education,130.0
Pedersöre,5 Short-cycle tertiary education,610.0
Pedersöre,6 Bachelor's or equivalent level,1035.0
Pedersöre,7 Master's or equivalent level,525.0
Pedersöre,8 Doctoral or equivalent level,20.0
Pedersöre,9 Basic education,2261.0
Pelkosenniemi,Total,831.0
Pelkosenniemi,3-8 A post-comprehensive level qualification,640.0
Pelkosenniemi,3 Upper secondary education,411.0
Pelkosenniemi,4 Post-secondary non-tertiary education,22.0
Pelkosenniemi,5 Short-cycle tertiary education,73.0
Pelkosenniemi,6 Bachelor's or equivalent level,70.0
Pelkosenniemi,7 Master's or equivalent level,61.0
Pelkosenniemi,8 Doctoral or equivalent level,3.0
Pelkosenniemi,9 Basic education,191.0
Pello,Total,2888.0
Pello,3-8 A post-comprehensive level qualification,2077.0
Pello,3 Upper secondary education,1408.0
Pello,4 Post-secondary non-tertiary education,32.0
Pello,5 Short-cycle tertiary education,286.0
Pello,6 Bachelor's or equivalent level,219.0
Pello,7 Master's or equivalent level,126.0
Pello,8 Doctoral or equivalent level,6.0
Pello,9 Basic education,811.0
Perho,Total,1993.0
Perho,3-8 A post-comprehensive level qualification,1272.0
Perho,3 Upper secondary education,965.0
Perho,4 Post-secondary non-tertiary education,21.0
Perho,5 Short-cycle tertiary education,94.0
Perho,6 Bachelor's or equivalent level,127.0
Perho,7 Master's or equivalent level,64.0
Perho,8 Doctoral or equivalent level,1.0
Perho,9 Basic education,721.0
Petäjävesi,Total,2996.0
Petäjävesi,3-8 A post-comprehensive level qualification,2266.0
Petäjävesi,3 Upper secondary education,1373.0
Petäjävesi,4 Post-secondary non-tertiary education,48.0
Petäjävesi,5 Short-cycle tertiary education,248.0
Petäjävesi,6 Bachelor's or equivalent level,333.0
Petäjävesi,7 Master's or equivalent level,230.0
Petäjävesi,8 Doctoral or equivalent level,34.0
Petäjävesi,9 Basic education,730.0
Pieksämäki,Total,15230.0
Pieksämäki,3-8 A post-comprehensive level qualification,11012.0
Pieksämäki,3 Upper secondary education,7195.0
Pieksämäki,4 Post-secondary non-tertiary education,206.0
Pieksämäki,5 Short-cycle tertiary education,1574.0
Pieksämäki,6 Bachelor's or equivalent level,1293.0
Pieksämäki,7 Master's or equivalent level,713.0
Pieksämäki,8 Doctoral or equivalent level,31.0
Pieksämäki,9 Basic education,4218.0
Pielavesi,Total,3537.0
Pielavesi,3-8 A post-comprehensive level qualification,2438.0
Pielavesi,3 Upper secondary education,1760.0
Pielavesi,4 Post-secondary non-tertiary education,41.0
Pielavesi,5 Short-cycle tertiary education,242.0
Pielavesi,6 Bachelor's or equivalent level,251.0
Pielavesi,7 Master's or equivalent level,134.0
Pielavesi,8 Doctoral or equivalent level,10.0
Pielavesi,9 Basic education,1099.0
Jakobstad,Total,16719.0
Jakobstad,3-8 A post-comprehensive level qualification,11476.0
Jakobstad,3 Upper secondary education,6188.0
Jakobstad,4 Post-secondary non-tertiary education,201.0
Jakobstad,5 Short-cycle tertiary education,1549.0
Jakobstad,6 Bachelor's or equivalent level,2035.0
Jakobstad,7 Master's or equivalent level,1435.0
Jakobstad,8 Doctoral or equivalent level,68.0
Jakobstad,9 Basic education,5243.0
Pihtipudas,Total,3229.0
Pihtipudas,3-8 A post-comprehensive level qualification,2143.0
Pihtipudas,3 Upper secondary education,1554.0
Pihtipudas,4 Post-secondary non-tertiary education,34.0
Pihtipudas,5 Short-cycle tertiary education,223.0
Pihtipudas,6 Bachelor's or equivalent level,217.0
Pihtipudas,7 Master's or equivalent level,111.0
Pihtipudas,8 Doctoral or equivalent level,4.0
Pihtipudas,9 Basic education,1086.0
Pirkkala,Total,17213.0
Pirkkala,3-8 A post-comprehensive level qualification,14026.0
Pirkkala,3 Upper secondary education,6199.0
Pirkkala,4 Post-secondary non-tertiary education,256.0
Pirkkala,5 Short-cycle tertiary education,1474.0
Pirkkala,6 Bachelor's or equivalent level,2828.0
Pirkkala,7 Master's or equivalent level,3036.0
Pirkkala,8 Doctoral or equivalent level,233.0
Pirkkala,9 Basic education,3187.0
Polvijärvi,Total,3486.0
Polvijärvi,3-8 A post-comprehensive level qualification,2510.0
Polvijärvi,3 Upper secondary education,1823.0
Polvijärvi,4 Post-secondary non-tertiary education,43.0
Polvijärvi,5 Short-cycle tertiary education,217.0
Polvijärvi,6 Bachelor's or equivalent level,280.0
Polvijärvi,7 Master's or equivalent level,132.0
Polvijärvi,8 Doctoral or equivalent level,15.0
Polvijärvi,9 Basic education,976.0
Pomarkku,Total,1678.0
Pomarkku,3-8 A post-comprehensive level qualification,1108.0
Pomarkku,3 Upper secondary education,750.0
Pomarkku,4 Post-secondary non-tertiary education,21.0
Pomarkku,5 Short-cycle tertiary education,132.0
Pomarkku,6 Bachelor's or equivalent level,131.0
Pomarkku,7 Master's or equivalent level,73.0
Pomarkku,8 Doctoral or equivalent level,1.0
Pomarkku,9 Basic education,570.0
Pori,Total,72342.0
Pori,3-8 A post-comprehensive level qualification,54595.0
Pori,3 Upper secondary education,31932.0
Pori,4 Post-secondary non-tertiary education,1049.0
Pori,5 Short-cycle tertiary education,6604.0
Pori,6 Bachelor's or equivalent level,9323.0
Pori,7 Master's or equivalent level,5372.0
Pori,8 Doctoral or equivalent level,315.0
Pori,9 Basic education,17747.0
Pornainen,Total,4120.0
Pornainen,3-8 A post-comprehensive level qualification,3058.0
Pornainen,3 Upper secondary education,1828.0
Pornainen,4 Post-secondary non-tertiary education,105.0
Pornainen,5 Short-cycle tertiary education,378.0
Pornainen,6 Bachelor's or equivalent level,432.0
Pornainen,7 Master's or equivalent level,300.0
Pornainen,8 Doctoral or equivalent level,15.0
Pornainen,9 Basic education,1062.0
Porvoo,Total,43558.0
Porvoo,3-8 A post-comprehensive level qualification,32133.0
Porvoo,3 Upper secondary education,16022.0
Porvoo,4 Post-secondary non-tertiary education,712.0
Porvoo,5 Short-cycle tertiary education,4328.0
Porvoo,6 Bachelor's or equivalent level,5751.0
Porvoo,7 Master's or equivalent level,4931.0
Porvoo,8 Doctoral or equivalent level,389.0
Porvoo,9 Basic education,11425.0
Posio,Total,2663.0
Posio,3-8 A post-comprehensive level qualification,1819.0
Posio,3 Upper secondary education,1281.0
Posio,4 Post-secondary non-tertiary education,27.0
Posio,5 Short-cycle tertiary education,216.0
Posio,6 Bachelor's or equivalent level,187.0
Posio,7 Master's or equivalent level,104.0
Posio,8 Doctoral or equivalent level,4.0
Posio,9 Basic education,844.0
Pudasjärvi,Total,6261.0
Pudasjärvi,3-8 A post-comprehensive level qualification,4329.0
Pudasjärvi,3 Upper secondary education,3175.0
Pudasjärvi,4 Post-secondary non-tertiary education,62.0
Pudasjärvi,5 Short-cycle tertiary education,452.0
Pudasjärvi,6 Bachelor's or equivalent level,414.0
Pudasjärvi,7 Master's or equivalent level,219.0
Pudasjärvi,8 Doctoral or equivalent level,7.0
Pudasjärvi,9 Basic education,1932.0
Pukkila,Total,1510.0
Pukkila,3-8 A post-comprehensive level qualification,1105.0
Pukkila,3 Upper secondary education,764.0
Pukkila,4 Post-secondary non-tertiary education,32.0
Pukkila,5 Short-cycle tertiary education,124.0
Pukkila,6 Bachelor's or equivalent level,124.0
Pukkila,7 Master's or equivalent level,57.0
